答案疑義	已查證	使用者回報不成立；答案 D 可維持。採購法第45條規定公開招標及選擇性招標之開標應公開為之，施行細則第48條明定機關得限制出席人數；第55條則對「三家以上合格廠商投標」另有要件，選項C「有3家以上廠商投標即可開標」過於簡化。	D	編號 49：政府採購法第45條規定公開招標及選擇性招標之開標應依招標文件公告之時間及地點公開為之；政府採購法施行細則第48條規定機關得限制出席人數。故選項D為正確敘述。	政府採購法第45條；政府採購法施行細則第48條、第55條	不修正	可補強解析；答案不建議改成C。
法條條號錯誤	已查證	使用者回報正確；答案 B 正確，但解析引用共同投標辦法第14條錯誤，應為共同投標辦法第7條第2款。	B	編號 78：依共同投標辦法第7條規定，機關允許共同投標時，原則上應於招標文件規定共同投標廠商之成員不得對同一採購另行提出投標文件或為另一共同投標廠商之成員。但預估合於招標文件規定之投標廠商競爭不足，規定廠商不得為不同共同投標廠商之成員反不利競爭者，不在此限。	行政院公共工程委員會：共同投標辦法第7條 https://www.pcc.gov.tw/content/index?eid=2849&type=C	確認要修	答案不用改，修解析條號。
解析/法條疑義	已查證	使用者回報正確；答案 C 正確，但原解析引用採購法施行細則第108條不恰當。選項C錯在顛倒程序審查與實體審查，依據應為採購申訴審議規則第10條。	C	編號 11：依採購申訴審議規則第10條規定，申訴事件應先為程序審查，其無不受理之情形者，再進而為實體審查。選項C稱應先實體審查再程序審查，故為錯誤。	行政院公共工程委員會：採購申訴審議規則第10條 https://www.pcc.gov.tw/content/index?eid=2874&type=C	確認要修	與前一筆B009_11同題，建議只修一次題庫。
答案疑義	已查證	使用者回報不成立；答案 D 正確。依採購履約爭議調解收費辦法第14條，第一次調解期日之次日起10日內撤回者，原則退還二分之一；但未退還之調解費逾20萬元者，以20萬元為收費上限。本題繳100萬元，最多僅留20萬元，應退80萬元。	D	編號 43：依採購履約爭議調解收費辦法第14條規定，申請人於第一次調解期日之次日起10日內以書面撤回調解者，無息退還所繳調解費二分之一；未退還之調解費逾新臺幣20萬元者，以20萬元為收費上限。本題調解費100萬元，未退還部分以20萬元為限，故應退還80萬元。	採購履約爭議調解收費辦法第14條	確認要修	答案不用改；原解析「調解期日前撤回」用語應修正。
答案疑義	已查證	使用者回報不成立；答案 C 正確。某甲於107年12月離開A機關，至111年3月已超過離職後三年限制，因此得代理廠商向A機關接洽其107年8月於A機關任職務有關之事務。	C	編號 3：依政府採購法第15條第1項，機關承辦、監辦採購人員離職後三年內，不得為本人或代理廠商向原任職機關接洽處理離職前五年內與職務有關之事務。某甲於107年12月離開A機關，至111年3月已逾三年限制期間，故得代理廠商向A機關接洽其107年8月於A機關職務有關之事務。	政府採購法第15條第1項	確認要修	答案不用改；原解析文字容易誤導，建議修解析。
解析錯誤	已查證	答案 D 正確；原解析錯稱申訴審議判斷不視同訴願決定。依政府採購法第83條，審議判斷視同訴願決定；選項D「以寄出申訴書之日為準」才是錯誤。	D	編號 29：依政府採購法第76條，申訴應於收受異議處理結果或處理期限屆滿之次日起15日內，以書面向採購申訴審議委員會提出；誤向非管轄機關申訴者，以該機關收受之日視為提起申訴之日。另依政府採購法第83條，申訴審議判斷視同訴願決定。選項D稱以申訴廠商寄出申訴書之日為準，故為錯誤。	政府採購法第76條、第83條	確認要修	與前一筆B009_29同題，建議只修一次題庫。
答案疑義	已查證	使用者回報提醒正確；答案 A 正確。現行工程採購契約範本門檻為逾3%部分調整，故增加18%時，逾3%部分為15%，以契約變更增加該項契約價金15%。	A	編號 15：依工程採購契約範本，採契約價金總額結算給付者，工程個別項目實作數量較契約所定數量增減逾3%時，其逾3%之部分，依原契約單價以契約變更增減契約價金。本題增加18%，逾3%部分為15%，故應以契約變更增加該項契約價金15%，其餘3%不予增加。	工程採購契約範本第3條	確認要修	答案不用改；解析可補明「逾3%」。
解析錯誤	已查證	答案 C 正確；原解析自相矛盾。固定費用或費率案件評選優勝後，議價程序不得免除，僅無須議減價格；故選項C「得免議價程序」為錯誤。	C	編號 62：機關於招標文件載明固定費用或費率，準用最有利標公開評選優勝廠商者，評選優勝後仍不得免除議價程序；但因費用或費率已固定，無須議減價格，可議定其他內容，並依招標文件所載固定費用或費率決標。故選項C稱得免議價程序，為錯誤。	最有利標作業手冊/工程會準用最有利標固定費用或費率說明；機關委託專業服務廠商評選及計費辦法第9條	確認要修	答案不用改，解析需改正。
解析錯誤	已查證	答案 C 正確；原解析寫成「協商後應重評全部項目」錯誤。依最有利標評選辦法第21條，第二次綜合評選應就因協商而更改之項目重行評分，其他未更改項目用原評分結果合併計算。	C	編號 23：依最有利標評選辦法第21條規定，採行協商措施後，評選委員會辦理第二次綜合評選，應就廠商因協商而更改之項目重行評分（比），與其他未更改項目之原評分（比）結果合併計算，以評定最有利標。選項C稱不論是否因協商更改，均應就全部評選項目重行評分，故為錯誤。	行政院公共工程委員會：最有利標評選辦法第21條 https://www.pcc.gov.tw/content/index?eid=2864&type=C	確認要修	答案不用改，解析需改正。
法條條號錯誤	已查證	使用者回報正確；答案 D 正確，但原解析引用最有利標評選辦法第6條不精準，應改採購評選委員會審議規則第3條。	D	編號 14：依採購評選委員會審議規則第3條規定，機關成立之工作小組就受評廠商資料擬具初審意見，應載明採購案名稱、工作小組人員姓名職稱及專長、受評廠商於各評選項目所報內容是否具可行性並符合招標文件所定目的功能需求特性標準經費及期程，以及受評廠商於各評選項目之差異性。受評廠商之經驗或實績並非該條列明之必要載明事項，故選項D為答案。	行政院公共工程委員會：採購評選委員會審議規則第3條 https://www.pcc.gov.tw/content/index?eid=2884&type=C	確認要修	答案不用改，修解析來源。
